tipo_plato,ventas_totales,cantidad_total,margen_total,margen_unitario,precio_prom_por_ud,costo_prom_por_ud,residual_prom,n_obs
salchipapa,1009.0,80,930.6,11.6325,12.6125,0.9800000000000001,-0.12187405740148662,57
tortilla_verduras,946.0,76,794.0,10.447368421052632,12.447368421052632,2.0,-0.007980246262450643,53
pollo_broaster,927.0,75,717.0,9.56,12.36,2.8,0.04513957340245566,57
cau_cau,934.0,77,690.68,8.969870129870129,12.12987012987013,3.16,0.16873899301210474,60
seco_de_pollo,927.0,74,656.16,8.867027027027026,12.527027027027026,3.6600000000000006,-0.12464095376895258,57
chanfainita,1000.0,81,710.8299999999999,8.775679012345678,12.345679012345679,3.5699999999999994,0.06904172337851179,56
adobo_cerdo,956.0,75,629.75,8.396666666666667,12.746666666666666,4.35,-0.11505765832587951,58
milanesa_pollo,922.0,73,597.8799999999999,8.190136986301368,12.63013698630137,4.44,0.027781383660479855,54
chaufa_pollo,900.0,73,597.78,8.18876712328767,12.32876712328767,4.14,0.17510614051853388,55
chicharron_cerdo,919.0,73,593.42,8.129041095890411,12.58904109589041,4.46,-0.03096245038839425,53
